#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
MP00119	MP00119	AT1G01060	PlantTFDB	1.0	AT1G01060	0	None	None	1	None	None	gene is directly annotated
MP00120	MP00120	AT1G01250	PlantTFDB	1.0	AT1G01250	0	None	None	1	None	None	gene is directly annotated
MP00100	MP00100	AT1G01260	PlantTFDB	1.0	AT1G01260	0	None	None	1	None	None	gene is directly annotated
MP00121	MP00121	AT1G01720	PlantTFDB	1.0	AT1G01720	0	None	None	1	None	None	gene is directly annotated
MP00090	MP00090	AT1G02065	PlantTFDB	1.0	AT1G02065	0	None	None	1	None	None	gene is directly annotated
MP00122	MP00122	AT1G02230	PlantTFDB	1.0	AT1G02230	0	None	None	1	None	None	gene is directly annotated
MP00123	MP00123	AT1G02250	PlantTFDB	1.0	AT1G02250	0	None	None	1	None	None	gene is directly annotated
MP00124	MP00124	AT1G03800	PlantTFDB	1.0	AT1G03800	0	None	None	1	None	None	gene is directly annotated
MP00125	MP00125	AT1G03840	PlantTFDB	1.0	AT1G03840	0	None	None	1	None	None	gene is directly annotated
MP00126	MP00126	AT1G06070	PlantTFDB	1.0	AT1G06070	0	None	None	1	None	None	gene is directly annotated
MP00023	MP00023	AT1G06160	PlantTFDB	1.0	AT1G06160	0	None	None	1	None	None	gene is directly annotated
MP00127	MP00127	AT1G06180	PlantTFDB	1.0	AT1G06180	0	None	None	1	None	None	gene is directly annotated
MP00128	MP00128	AT1G06280	PlantTFDB	1.0	AT1G06280	0	None	None	1	None	None	gene is directly annotated
MP00129	MP00129	AT1G06850	PlantTFDB	1.0	AT1G06850	0	None	None	1	None	None	gene is directly annotated
MP00047	MP00047	AT1G08000	PlantTFDB	1.0	AT1G08000	0	None	None	1	None	None	gene is directly annotated
MP00130	MP00130	AT1G08010	PlantTFDB	1.0	AT1G08010	0	None	None	1	None	None	gene is directly annotated
MP00131	MP00131	AT1G08320	PlantTFDB	1.0	AT1G08320	0	None	None	1	None	None	gene is directly annotated
MP00132	MP00132	AT1G08810	PlantTFDB	1.0	AT1G08810	0	None	None	1	None	None	gene is directly annotated
MP00133	MP00133	AT1G09030	PlantTFDB	1.0	AT1G09030	0	None	None	1	None	None	gene is directly annotated
MP00081	MP00081	AT1G09530	PlantTFDB	1.0	AT1G09530	0	None	None	1	None	None	gene is directly annotated
MP00134	MP00134	AT1G09540	PlantTFDB	1.0	AT1G09540	0	None	None	1	None	None	gene is directly annotated
MP00028	MP00028	AT1G09770	PlantTFDB	1.0	AT1G09770	0	None	None	1	None	None	gene is directly annotated
MP00135	MP00135	AT1G10120	PlantTFDB	1.0	AT1G10120	0	None	None	1	None	None	gene is directly annotated
MP00136	MP00136	AT1G12260	PlantTFDB	1.0	AT1G12260	0	None	None	1	None	None	gene is directly annotated
MP00137	MP00137	AT1G12610	PlantTFDB	1.0	AT1G12610	0	None	None	1	None	None	gene is directly annotated
MP00138	MP00138	AT1G12630	PlantTFDB	1.0	AT1G12630	0	None	None	1	None	None	gene is directly annotated
MP00139	MP00139	AT1G13260	PlantTFDB	1.0	AT1G13260	0	None	None	1	None	None	gene is directly annotated
MP00140	MP00140	AT1G13300	PlantTFDB	1.0	AT1G13300	0	None	None	1	None	None	gene is directly annotated
MP00141	MP00141	AT1G13450	PlantTFDB	1.0	AT1G13450	0	None	None	1	None	None	gene is directly annotated
MP00142	MP00142	AT1G14580	PlantTFDB	1.0	AT1G14580	0	None	None	1	None	None	gene is directly annotated
MP00143	MP00143	AT1G14687	PlantTFDB	1.0	AT1G14687	0	None	None	1	None	None	gene is directly annotated
MP00052	MP00052	AT1G15720	PlantTFDB	1.0	AT1G15720	0	None	None	1	None	None	gene is directly annotated
MP00144	MP00144	AT1G16490	PlantTFDB	1.0	AT1G16490	0	None	None	1	None	None	gene is directly annotated
MP00145	MP00145	AT1G17950	PlantTFDB	1.0	AT1G17950	0	None	None	1	None	None	gene is directly annotated
MP00146	MP00146	AT1G18330	PlantTFDB	1.0	AT1G18330	0	None	None	1	None	None	gene is directly annotated
MP00147	MP00147	AT1G18570	PlantTFDB	1.0	AT1G18570	0	None	None	1	None	None	gene is directly annotated
MP00148	MP00148	AT1G18960	PlantTFDB	1.0	AT1G18960	0	None	None	1	None	None	gene is directly annotated
MP00149	MP00149	AT1G19000	PlantTFDB	1.0	AT1G19000	0	None	None	1	None	None	gene is directly annotated
MP00150	MP00150	AT1G19040	PlantTFDB	1.0	AT1G19040	0	None	None	1	None	None	gene is directly annotated
MP00151	MP00151	AT1G19210	PlantTFDB	1.0	AT1G19210	0	None	None	1	None	None	gene is directly annotated
MP00073	MP00073	AT1G19350	PlantTFDB	1.0	AT1G19350	0	None	None	1	None	None	gene is directly annotated
MP00152	MP00152	AT1G19790	PlantTFDB	1.0	AT1G19790	0	None	None	1	None	None	gene is directly annotated
MP00153	MP00153	AT1G19850	PlantTFDB	1.0	AT1G19850	0	None	None	1	None	None	gene is directly annotated
MP00154	MP00154	AT1G20640	PlantTFDB	1.0	AT1G20640	0	None	None	1	None	None	gene is directly annotated
MP00155	MP00155	AT1G20980	PlantTFDB	1.0	AT1G20980	0	None	None	1	None	None	gene is directly annotated
MP00156	MP00156	AT1G21910	PlantTFDB	1.0	AT1G21910	0	None	None	1	None	None	gene is directly annotated
MP00157	MP00157	AT1G22070	PlantTFDB	1.0	AT1G22070	0	None	None	1	None	None	gene is directly annotated
MP00053	MP00053	AT1G22640	PlantTFDB	1.0	AT1G22640	0	None	None	1	None	None	gene is directly annotated
MP00158	MP00158	AT1G22810	PlantTFDB	1.0	AT1G22810	0	None	None	1	None	None	gene is directly annotated
MP00605	MP00605	AT1G24260	PlantTFDB	1.0	AT1G24260	0	None	None	1	None	None	gene is directly annotated
MP00159	MP00159	AT1G25340	PlantTFDB	1.0	AT1G25340	0	None	None	1	None	None	gene is directly annotated
MP00160	MP00160	AT1G25550	PlantTFDB	1.0	AT1G25550	0	None	None	1	None	None	gene is directly annotated
MP00024	MP00024	AT1G25560	PlantTFDB	1.0	AT1G25560	0	None	None	1	None	None	gene is directly annotated
MP00161	MP00161	AT1G27360	PlantTFDB	1.0	AT1G27360	0	None	None	1	None	None	gene is directly annotated
MP00162	MP00162	AT1G27730	PlantTFDB	1.0	AT1G27730	0	None	None	1	None	None	gene is directly annotated
MP00163	MP00163	AT1G28160	PlantTFDB	1.0	AT1G28160	0	None	None	1	None	None	gene is directly annotated
MP00032	MP00032	AT1G28300	PlantTFDB	1.0	AT1G28300	0	None	None	1	None	None	gene is directly annotated
MP00645	MP00645	AT1G28360	PlantTFDB	1.0	AT1G28360	0	None	None	1	None	None	gene is directly annotated
MP00164	MP00164	AT1G28370	PlantTFDB	1.0	AT1G28370	0	None	None	1	None	None	gene is directly annotated
MP00165	MP00165	AT1G28470	PlantTFDB	1.0	AT1G28470	0	None	None	1	None	None	gene is directly annotated
MP00166	MP00166	AT1G29160	PlantTFDB	1.0	AT1G29160	0	None	None	1	None	None	gene is directly annotated
MP00167	MP00167	AT1G29280	PlantTFDB	1.0	AT1G29280	0	None	None	1	None	None	gene is directly annotated
MP00168	MP00168	AT1G29860	PlantTFDB	1.0	AT1G29860	0	None	None	1	None	None	gene is directly annotated
MP00169	MP00169	AT1G30210	PlantTFDB	1.0	AT1G30210	0	None	None	1	None	None	gene is directly annotated
MP00170	MP00170	AT1G30490	PlantTFDB	1.0	AT1G30490	0	None	None	1	None	None	gene is directly annotated
MP00171	MP00171	AT1G30650	PlantTFDB	1.0	AT1G30650	0	None	None	1	None	None	gene is directly annotated
MP00172	MP00172	AT1G31140	PlantTFDB	1.0	AT1G31140	0	None	None	1	None	None	gene is directly annotated
MP00173	MP00173	AT1G32150	PlantTFDB	1.0	AT1G32150	0	None	None	1	None	None	gene is directly annotated
MP00174	MP00174	AT1G32240	PlantTFDB	1.0	AT1G32240	0	None	None	1	None	None	gene is directly annotated
MP00175	MP00175	AT1G32510	PlantTFDB	1.0	AT1G32510	0	None	None	1	None	None	gene is directly annotated
MP00084	MP00084	AT1G32640	PlantTFDB	1.0	AT1G32640	0	None	None	1	None	None	gene is directly annotated
MP00016	MP00016	AT1G32770	PlantTFDB	1.0	AT1G32770	0	None	None	1	None	None	gene is directly annotated
MP00176	MP00176	AT1G32870	PlantTFDB	1.0	AT1G32870	0	None	None	1	None	None	gene is directly annotated
MP00177	MP00177	AT1G33240	PlantTFDB	1.0	AT1G33240	0	None	None	1	None	None	gene is directly annotated
MP00178	MP00178	AT1G34180	PlantTFDB	1.0	AT1G34180	0	None	None	1	None	None	gene is directly annotated
MP00179	MP00179	AT1G34190	PlantTFDB	1.0	AT1G34190	0	None	None	1	None	None	gene is directly annotated
MP00196	MP00196	AT1G34370	PlantTFDB	1.0	AT1G34370	0	None	None	1	None	None	gene is directly annotated
MP00180	MP00180	AT1G34670	PlantTFDB	1.0	AT1G34670	0	None	None	1	None	None	gene is directly annotated
MP00181	MP00181	AT1G35460	PlantTFDB	1.0	AT1G35460	0	None	None	1	None	None	gene is directly annotated
MP00614	MP00614	AT1G35560	PlantTFDB	1.0	AT1G35560	0	None	None	1	None	None	gene is directly annotated
MP00182	MP00182	AT1G36060	PlantTFDB	1.0	AT1G36060	0	None	None	1	None	None	gene is directly annotated
MP00019	MP00019	AT1G42990	PlantTFDB	1.0	AT1G42990	0	None	None	1	None	None	gene is directly annotated
MP00183	MP00183	AT1G43160	PlantTFDB	1.0	AT1G43160	0	None	None	1	None	None	gene is directly annotated
MP00184	MP00184	AT1G43700	PlantTFDB	1.0	AT1G43700	0	None	None	1	None	None	gene is directly annotated
MP00185	MP00185	AT1G44830	PlantTFDB	1.0	AT1G44830	0	None	None	1	None	None	gene is directly annotated
MP00186	MP00186	AT1G45249	PlantTFDB	1.0	AT1G45249	0	None	None	1	None	None	gene is directly annotated
MP00187	MP00187	AT1G46264	PlantTFDB	1.0	AT1G46264	0	None	None	1	None	None	gene is directly annotated
MP00188	MP00188	AT1G46768	PlantTFDB	1.0	AT1G46768	0	None	None	1	None	None	gene is directly annotated
MP00189	MP00189	AT1G47655	PlantTFDB	1.0	AT1G47655	0	None	None	1	None	None	gene is directly annotated
